order_id,order_date,region,customer_segment,category,product,quantity,unit_price,discount,revenue,cost,profit
1,2024-01-21,East,Corporate,Furniture,Office Chair,4,5587.873967732661,0.0,22351.5,15930.41,6421.09
2,2024-10-03,South,Consumer,Electronics,Smartwatch,3,37622.66831322142,0.1,101581.2,59412.15,42169.05
3,2024-11-15,West,Consumer,Electronics,Laptop,2,28805.629255006825,0.2,46089.01,36475.21,9613.8
4,2024-12-05,South,Consumer,Groceries,Rice 5kg,3,508.2572014548904,0.2,1219.82,749.82,470.0
5,2024-07-09,South,Corporate,Clothing,Jeans,4,1822.540849606532,0.0,7290.16,4602.52,2687.64
6,2024-08-04,Central,Corporate,Furniture,Bookshelf,1,14482.009912639714,0.0,14482.01,9498.03,4983.98
7,2024-06-11,East,Consumer,Furniture,Sofa,4,15937.079419963262,0.15,54186.07,38245.86,15940.21
8,2024-08-01,East,Corporate,Electronics,Tablet,1,53401.945440715106,0.1,48061.75,29269.42,18792.33
9,2024-12-11,North,Corporate,Electronics,Laptop,4,2987.0189145295685,0.05,11350.67,8216.51,3134.16
10,2024-01-13,East,Consumer,Electronics,Tablet,5,6003.32472498439,0.0,30016.62,17300.79,12715.83
11,2024-11-26,West,Consumer,Furniture,Sofa,1,4808.022958115487,0.0,4808.02,3157.8,1650.22
12,2024-05-16,East,Consumer,Groceries,Rice 5kg,3,184.2690372362758,0.0,552.81,375.74,177.07
13,2024-09-24,North,Consumer,Clothing,T-Shirt,1,1483.1619153403708,0.0,1483.16,1177.86,305.3
14,2024-05-05,Central,Consumer,Furniture,Study Table,4,13257.41348638395,0.0,53029.65,34066.97,18962.68
15,2024-08-27,West,Small Business,Electronics,Tablet,3,48203.18981159624,0.05,137379.09,98829.29,38549.8
16,2024-07-17,East,Consumer,Electronics,Laptop,1,11700.436096792,0.1,10530.39,7727.24,2803.15
17,2024-05-23,East,Consumer,Electronics,Smartphone,4,49307.49871177113,0.05,187368.5,144397.24,42971.26
18,2024-07-26,East,Corporate,Electronics,Headphones,3,53980.95020722576,0.2,129554.28,96690.91,32863.37
19,2024-04-08,East,Consumer,Clothing,Jeans,3,1499.3098972398163,0.1,4048.14,2453.45,1594.69
20,2024-05-14,Central,Consumer,Clothing,T-Shirt,5,2353.1448299976373,0.05,11177.44,8679.56,2497.88
21,2024-11-12,North,Corporate,Furniture,Office Chair,4,15156.09658181121,0.2,48499.51,38241.0,10258.51
22,2024-10-06,west,Consumer,Groceries,Snacks Pack,4,589.1823710438251,0.0,2356.73,1523.09,833.64
23,2024-10-07,East,Consumer,Groceries,Tea 250g,2,88.72887196724915,0.1,159.71,127.37,32.34
24,2024-09-29,South,Small Business,Electronics,Laptop,2,51147.18300309345,0.15,86950.21,65432.5,21517.71
25,2024-11-08,West,Consumer,Groceries,Rice 5kg,4,268.2311049676386,0.15,911.99,507.89,404.1
26,2024-03-03,East,Consumer,Clothing,Sneakers,2,3497.456625922031,0.15,5945.68,3805.52,2140.16
27,2024-04-17,Central,Consumer,Electronics,Headphones,3,37939.09283541152,0.1,102435.55,74933.94,27501.61
28,2024-05-24,South,Consumer,Groceries,Tea 250g,2,187.97329004066367,0.2,300.76,228.28,72.48
29,2024-01-01,North,Consumer,Clothing,T-Shirt,5,737.9438442926503,0.0,3689.72,2910.14,779.58
30,2024-09-03,Central,Corporate,Clothing,Jacket,5,971.1272115129677,0.0,4855.64,2726.45,2129.19
31,2024-08-05,Central,Consumer,Electronics,Smartwatch,5,46156.81874572879,0.0,230784.09,162463.35,68320.74
32,2024-09-06,West,Consumer,Clothing,Jeans,2,2341.758814240225,0.0,4683.52,3261.81,1421.71
33,2024-02-02,West,Consumer,Groceries,Tea 250g,1,262.3564507904258,0.1,236.12,142.07,94.05
34,2024-08-29,South,Consumer,Electronics,Smartwatch,2,41455.89624485688,0.0,82911.79,51005.15,31906.64
35,2024-03-15,Central,Consumer,Furniture,Bookshelf,2,18906.634007489374,0.05,35922.6,24863.11,11059.49
36,2024-04-05,West,Consumer,Clothing,Jacket,5,3490.2859066348424,0.1,15706.29,9573.91,6132.38
37,2024-12-07,West,Small Business,Furniture,Office Chair,3,4299.652404722858,0.0,12898.96,8124.13,4774.83
38,2024-05-23,West,Corporate,Groceries,Tea 250g,4,419.8851508423711,0.2,1343.63,1001.44,342.19
39,2024-08-10,South,Small Business,Electronics,Tablet,4,4768.462548624977,0.1,17166.47,13033.49,4132.98
40,2024-10-09,Central,Consumer,Groceries,Cooking Oil 1L,5,592.6517681756465,0.0,2963.26,2231.93,731.33
41,2024-03-10,Central,Corporate,Groceries,Rice 5kg,2,437.79640036316295,0.2,700.47,404.73,295.74
42,2024-02-27,South,Consumer,Furniture,Office Chair,3,19645.48162149715,0.05,55989.62,44262.21,11727.41
43,2024-04-26,North,Small Business,Furniture,Office Chair,5,2279.5529178657757,0.0,11397.76,8903.48,2494.28
44,2024-02-16,East,Corporate,Groceries,Tea 250g,3,395.1569440462349,0.2,948.38,532.38,416.0
45,2024-05-01,West,Consumer,Electronics,Smartwatch,4,12505.087843840036,0.0,50020.35,30761.89,19258.46
46,2024-07-30,North,Consumer,Furniture,Study Table,2,8232.025777847986,0.05,15640.85,10874.94,4765.91
47,2024-01-05,South,Corporate,Groceries,Cooking Oil 1L,1,593.0018711232194,0.0,593.0,437.27,155.73
48,2024-04-07,East,Corporate,Furniture,Study Table,4,5078.5987324145635,0.15,17267.24,13812.57,3454.67
49,2024-07-20,Central,Corporate,Groceries,Rice 5kg,3,121.03767833332225,0.0,363.11,218.52,144.59
50,2024-03-12,South,Consumer,Groceries,Tea 250g,2,507.25431953437567,0.15,862.33,593.26,269.07
51,2024-04-21,East,Consumer,Clothing,Jeans,3,3224.8057501995145,0.0,9674.42,5650.76,4023.66
52,2024-11-30,South,Corporate,Electronics,Smartphone,4,27092.28293838815,0.0,108369.13,73788.6,34580.53
53,2024-11-25,West,Consumer,Clothing,T-Shirt,2,565.1005590566785,0.0,1130.2,800.58,329.62
54,2024-12-01,North,Consumer,Electronics,Laptop,1,10386.30757046922,0.15,8828.36,5901.67,2926.69
55,2024-10-03,Central,Consumer,Clothing,Jeans,1,1037.2377433962886,0.05,985.38,629.66,355.72
56,2024-03-13,South,Corporate,Groceries,Rice 5kg,3,331.41135745099365,0.2,795.39,449.61,345.78
57,2024-06-28,North,Corporate,Electronics,Headphones,2,13746.935415197553,0.1,24744.48,13836.39,10908.09
58,2024-09-30,East,Consumer,Electronics,Laptop,5,27673.623459172097,0.0,138368.12,95611.16,42756.96
59,2024-01-25,South,Consumer,Groceries,Cooking Oil 1L,5,484.04418123403605,0.05,2299.21,1600.36,698.85
60,2024-02-11,North,Corporate,Clothing,Jacket,3,2725.302068793764,0.2,6540.72,4587.95,1952.77
61,2024-11-13,West,Small Business,Electronics,Tablet,5,48643.09587435689,0.2,194572.38,112464.73,82107.65
62,2024-05-13,East,Small Business,Furniture,Sofa,2,13287.221922952043,0.05,25245.72,17492.84,7752.88
63,2024-04-27,Central,Consumer,Electronics,Smartwatch,1,43090.72001194977,0.1,38781.65,24128.3,14653.35
64,2024-09-15,West,Consumer,Clothing,Jacket,4,883.8928369803073,0.0,3535.57,2549.65,985.92
65,2024-02-07,North,Corporate,Electronics,Tablet,4,25592.69347761521,0.05,97252.24,76171.31,21080.93
66,2024-01-01,West,Consumer,Groceries,Cooking Oil 1L,1,126.87480714445923,0.1,114.19,85.63,28.56
67,2024-03-18,Central,Consumer,Groceries,Rice 5kg,3,265.8448090824495,0.1,717.78,491.64,226.14
68,2024-11-04,North,Consumer,Furniture,Office Chair,3,16357.473906021818,0.0,49072.42,28698.44,20373.98
69,2024-08-18,North,Consumer,Clothing,T-Shirt,3,3108.6512321397618,0.1,8393.36,4686.71,3706.65
70,2024-12-18,Central,Small Business,Clothing,Jeans,4,1763.7576360048965,0.0,7055.03,5286.5,1768.53
71,2024-04-04,west,Corporate,Electronics,Smartwatch,4,36508.89802050578,0.0,146035.59,113486.1,32549.49
72,2024-08-05,South,Small Business,Clothing,Sneakers,4,2601.235247564732,0.05,9884.69,5689.16,4195.53
73,2024-04-15,Central,Corporate,Groceries,Rice 5kg,1,92.52658601883299,0.2,74.02,49.05,24.97
74,2024-06-30,South,Small Business,Electronics,Tablet,5,50493.21115664579,0.0,252466.06,185830.78,66635.28
75,2024-10-17,Central,Corporate,Electronics,Headphones,2,24792.868575070184,0.05,47106.45,36724.83,10381.62
76,2024-06-30,West,Small Business,Clothing,Jacket,1,1908.1316182163725,0.1,1717.32,1063.7,653.62
77,2024-12-02,Central,Consumer,Electronics,Smartphone,5,57722.61357196313,0.0,288613.07,180354.01,108259.06
78,2024-11-13,East,Corporate,Electronics,Laptop,3,13500.668968197419,0.0,40502.01,30128.71,10373.3
79,2024-08-09,West,Consumer,Furniture,Bookshelf,3,5570.5256564063875,0.0,16711.58,10322.51,6389.07
80,2024-10-14,North,Consumer,Clothing,Sneakers,3,497.54557301254056,0.05,1418.0,990.84,427.16
81,2024-04-01,East,Small Business,Electronics,Tablet,3,15433.692691233502,0.2,37040.86,29117.91,7922.95
82,2024-05-30,South,Consumer,Electronics,Smartphone,2,51115.493584812684,0.15,86896.34,65551.2,21345.14
83,2024-04-28,South,Consumer,Electronics,Smartphone,2,17181.72298813826,0.15,29208.93,17667.83,11541.1
84,2024-04-29,North,Small Business,Groceries,Tea 250g,1,316.6281019326904,0.0,316.63,217.02,99.61
85,2024-08-22,North,Consumer,Clothing,Jacket,5,3642.0602844509885,0.0,18210.3,14178.08,4032.22
86,2024-01-17,North,Consumer,Electronics,Smartwatch,5,25207.01314961979,0.0,126035.07,77716.32,48318.75
87,2024-11-04,West,Corporate,Clothing,Jeans,2,1907.5738896114633,0.05,3624.39,2314.06,1310.33
88,2024-10-08,East,Consumer,Groceries,Rice 5kg,3,553.5325225105528,0.0,1660.6,1148.47,512.13
89,2024-09-06,Central,Consumer,Furniture,Study Table,3,8032.073018895977,0.05,22891.41,14503.1,8388.31
90,2024-01-17,North,Consumer,Clothing,T-Shirt,3,2553.8298097653565,0.15,6512.27,4883.25,1629.02
91,2024-04-10,South,Consumer,Clothing,Jeans,1,892.547071308261,0.0,892.55,611.82,280.73
92,2024-07-16,Central,Corporate,Groceries,Tea 250g,1,431.2463663013086,0.2,345.0,193.15,151.85
93,2024-03-26,North,Consumer,Clothing,Jacket,2,2910.7129620886235,0.05,5530.35,4141.32,1389.03
94,2024-04-12,East,Consumer,Clothing,Sneakers,2,1228.031814235731,0.15,2087.65,1424.96,662.69
95,2024-01-04,West,Corporate,Furniture,Study Table,2,9331.307567437609,0.15,15863.22,10380.52,5482.7
96,2024-05-20,East,Small Business,Furniture,Bookshelf,5,23449.567916780816,0.1,105523.06,68640.93,36882.13
97,2024-09-22,West,Small Business,Furniture,Office Chair,1,9736.520668053709,0.0,9736.52,6218.28,3518.24
98,2024-06-01,South,Consumer,Electronics,Smartwatch,1,17720.040273261257,0.1,15948.04,9641.6,6306.44
99,2024-07-16,Central,Consumer,Groceries,Rice 5kg,2,547.0481819463987,0.0,1094.1,872.86,221.24
100,2024-08-30,Central,Corporate,Electronics,Smartwatch,1,31492.27789446575,0.2,25193.82,19060.42,6133.4
101,2024-01-20,North,Consumer,Groceries,Cooking Oil 1L,1,467.0311616372502,0.0,467.03,352.12,114.91
102,2024-12-22,North,Corporate,Electronics,Tablet,1,6851.97998776866,0.0,6851.98,5228.39,1623.59
103,2024-08-13,Central,Corporate,Electronics,Headphones,2,25394.512964635873,0.05,48249.57,38142.76,10106.81
104,2024-04-23,Central,Small Business,Electronics,Smartwatch,2,30466.071830317498,0.05,57885.54,44347.46,13538.08
105,2024-04-01,East,Small Business,Clothing,Sneakers,1,2950.1067161741253,0.2,2360.09,1360.49,999.6
106,2024-11-09,Central,Small Business,Clothing,Sneakers,5,418.5226147169732,0.1,1883.35,1111.53,771.82
107,2024-10-21,Central,Consumer,Groceries,Cooking Oil 1L,2,357.9143717698562,0.1,644.25,441.31,202.94
108,2024-03-14,East,,Clothing,Jeans,5,1811.7443612027078,0.0,9058.72,7104.82,1953.9
109,2024-01-17,West,Consumer,Clothing,Jeans,3,2104.8659983663188,0.15,5367.41,4280.71,1086.7
110,2024-01-07,West,Corporate,Clothing,Sneakers,3,1738.6007052594086,0.1,4694.22,3105.11,1589.11
111,2024-02-08,West,,Electronics,Tablet,4,32330.909628393933,0.1,116391.27,71966.45,44424.82
112,2024-10-29,West,Corporate,Groceries,Tea 250g,3,200.81836129176853,0.0,602.46,379.66,222.8
113,2024-10-07,Central,Consumer,Clothing,Jeans,4,2097.516856369046,0.0,8390.07,6436.49,1953.58
114,2024-07-17,East,Small Business,Clothing,Jacket,3,517.0942461685069,0.0,1551.28,1032.41,518.87
115,2024-01-09,West,Consumer,Electronics,Headphones,5,13230.696511969698,0.05,62845.81,41372.13,21473.68
